condition,gr_ratio,hue_mean,sat_mean,lbp_std
rotten,0.9999092333978838,13.0727,12.4769,0.1847759237378387
rotten,0.9671890122121682,24.6665,28.0401,0.036848202123420375
rotten,0.9675256872965123,24.5122,30.2044,0.03665850514861771
unripe,0.9276813757832489,21.8977,102.5046,0.060028493228460406
unripe,0.9412421268535432,11.9728,51.5521,0.09499547356687671
unripe,0.9451339702974472,12.2507,57.9625,0.08674124738839759
unripe,0.9493278577096111,12.0613,52.182,0.10519575085423731
unripe,1.0344551905810555,82.7169,59.1271,0.062852159861137
unripe,1.0141417962631005,36.1077,43.5265,0.08387217654617705
unripe,1.0862961086734761,36.2037,168.694,0.08121147701329498
unripe,1.0628589661099916,33.0131,101.3565,0.056401418416239996
unripe,0.9761888391750771,35.3807,63.5841,0.030489801570591994
unripe,0.9442768781142791,12.7976,58.2176,0.09473950600570431
unripe,0.9459920228132355,12.2446,52.5628,0.09419736725739934
unripe,1.0150683631434259,28.1213,102.1784,0.06345812792065814
unripe,0.9554238042745556,26.7413,126.6908,0.052168841270011757
unripe,1.0928291421333125,63.2935,107.0579,0.05271601274227978
unripe,0.944972973052585,11.6376,46.8657,0.111509147595671
unripe,1.0508286553253858,66.3831,88.7218,0.05183494959448333
unripe,0.943042017265727,11.9184,55.7329,0.0918225789134335
unripe,1.0083970344860587,81.3776,68.0982,0.04187949378453877
unripe,1.0551466003218295,68.8154,84.7567,0.0583315009177673
unripe,1.2503552179797899,42.7513,130.1181,0.028178325000631183
unripe,1.0574208974568766,83.6032,61.4494,0.06268953660072792
unripe,0.9396433078732533,11.3542,50.4059,0.09604806087659945
unripe,1.0565965965895958,19.454,65.6553,0.13508516571537527
unripe,0.9477257355548107,11.8422,53.2248,0.10250479012172338
unripe,1.4489312131025458,48.1208,168.0821,0.043478155430306954
unripe,1.0360419692697964,73.0784,71.0113,0.058324437411085686
unripe,1.0607381475583308,63.3231,81.911,0.06426062557409563
unripe,0.9444704377397917,11.2509,43.337,0.11099354034148153
unripe,0.9439093548012939,15.0848,38.0938,0.09777596840782489
unripe,0.9394260497216702,11.2266,50.2764,0.09374703194364235
unripe,0.9501240378911063,12.029,52.3707,0.10431388209545132
unripe,0.9425927076587881,12.1746,54.5945,0.09100587892187838
unripe,0.9553375018169254,12.6518,55.7101,0.10188304077678467
unripe,1.048499948157919,85.4152,60.6932,0.0614946664292415
unripe,1.0594922711281454,78.213,97.4902,0.07303511483480514
unripe,0.9491354477718588,11.9738,49.2754,0.10532464098102279
unripe,1.030901795526439,19.4322,28.9523,0.11947047332770286
